,level_0,index,CASEID,POINT_X,POINT_Y,YEAR_,LOCATION,CHPTYPE,DAYWEEK,CRASHSEV,VIOLCAT,KILLED,INJURED,WEATHER1,PEDCOL,BICCOL,MCCOL,TRUCKCOL,ETOH,TIMECAT,MONTH_,CRASHTYP,INVOLVE,PED,PRIMARYRD,SECONDRD,DISTANCE,DIRECT,INTERSECT_,PROCDATE,JURIS,DATE_,TIME_,BADGE,JURIDIST,SHIFT,POP,SPECIAL,BEATTYPE,LAPDDIV,BEATCLAS,BEATNUMB,WEATHER2,STATEHW,CALTRANC,CALTRAND,STROUTE,ROUTESUF,POSTPRE,POSTMILE,LOCATYPE,RAMP,SIDEHW,TOWAWAY,PARTIES,PCF,VIOLCODE,VIOL,VIOLSUB,HITRUN,ROADSURF,RDCOND1,RDCOND2,LIGHTING,RIGHTWAY,CHPRDTYP,NOTPRIV,STFAULT,CHPFAULT,SEVINJ,OTHERINJ,COP,PEDKILL,PEDINJ,BICKILL,BICINJ,MCKILL,MCINJURE,RAMP1,RAMP2,CITY,COUNTY,STATE,X_CHP,Y_CHP,AvgVAGE,VAGE_Minor,VAGE_Working,VAGE_Senior,MobilLimAge,F_M_VSEX,F_F_VSEX,F_A_PRACE,F_H_PRACE,F_W_PRACE,F_O_PRACE,F_B_PRACE,F_E_MOVEMENT,F_B_MOVEMENT,F_A_MOVEMENT,F_D_MOVEMENT,F_P_MOVEMENT,F_O_MOVEMENT,F_H_MOVEMENT,F_L_MOVEMENT,F_F_MOVEMENT,F_R_MOVEMENT,F_J_MOVEMENT,F_Q_MOVEMENT,F_G_MOVEMENT,F_C_MOVEMENT,F_M_MOVEMENT,F_N_MOVEMENT,F_K_MOVEMENT,F_I_MOVEMENT,F_A_VEHTYPE,F_I_VEHTYPE,F_L_VEHTYPE,F_D_VEHTYPE,F_C_VEHTYPE,F_N_VEHTYPE,F_F_VEHTYPE,F_J_VEHTYPE,F_G_VEHTYPE,F_B_VEHTYPE,F_M_VEHTYPE,F_E_VEHTYPE,F_H_VEHTYPE,PrimeModeClass
759,759,759,3369355,-122.004063055,37.3686561584,2007,4316,0,6,4,09,0,3,B,,,,,,2100,9,A,C,A,ASTER AV,EVELYN AV,0,,Y,2008-03-01,4316,2007-09-29,1806,15924,42,5,6,0,0,,0,004,-,N,,0,0,,,0.0,,,,Y,2,A,-,21801,A,N,A,H,-,A,A,0,Y,A,01,0,0,3,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,28.0,,3.0,,,,2.0,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
760,760,760,3369359,-121.996023056,37.386825561500004,2007,4316,0,6,4,03,0,1,A,,,,,,1500,9,C,C,A,OAKMEAD PKWY,LAWRENCE EXPWY,0,,Y,2008-03-01,4316,2007-09-29,1300,13541,28,5,6,0,0,,0,002,-,N,,0,0,,,0.0,,,,N,2,A,-,22350,,N,A,H,-,A,A,0,Y,B,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,27.0,,1.0,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,Motor Vehicle
761,761,761,3376750,-122.028139814,37.3972,2007,4316,0,1,3,07,0,1,A,,,,,,1500,9,B,C,A,MATHILDA,AHWANEE,528,N,N,2008-03-04,4316,2007-09-10,1338,67643,12,5,6,0,0,,0,001,-,Y,SCL,4,101,-,-,45.721000000000004,R,4,S,N,2,A,-,21658,A,N,A,H,-,A,D,0,Y,A,,0,1,0,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,38.0,,1.0,,,1.0,,,,,2.0,,,1.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
762,762,762,3376963,-122.06146888200001,37.3375892639,2007,4316,0,4,3,01,0,1,A,,,,,Y,1500,9,E,C,A,BELLEVILLE WY,HOMESTEAD RD,35,N,N,2008-02-16,4316,2007-09-20,1210,11145,53,5,6,0,0,,0,005,-,N,,0,0,,,0.0,,,,N,1,A,-,23152,A,N,A,H,-,A,D,0,Y,A,01,0,1,0,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,51.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,Motor Vehicle
763,763,763,3376979,-122.061370786,37.3436050415,2007,4316,0,4,3,01,0,1,A,,,,,Y,1500,9,C,E,A,BELLEVILLE WY,THE DALLES AV,440,S,N,2008-02-16,4316,2007-09-20,1215,11145,53,5,6,0,0,,0,005,-,N,,0,0,,,0.0,,,,Y,2,A,-,23152,A,N,A,H,-,A,D,0,Y,A,01,0,1,0,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,51.0,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
764,764,764,3376983,-122.05961306200001,37.3594932556,2007,4316,0,2,4,09,0,1,A,,,,,,1800,9,D,C,A,REMINGTON DR,BERNARDO AV,0,,Y,2008-02-16,4316,2007-09-18,1635,14398,51,5,6,0,0,,0,005,-,N,,0,0,,,0.0,,,,Y,3,A,-,21802,A,N,A,H,-,A,A,0,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,22.0,,1.0,,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,Motor Vehicle
765,765,765,3376987,-122.041609098,37.3594551086,2007,4316,0,2,3,11,0,1,A,Y,,,,,1800,9,G,B,D,REMINGTON DR,HOLLENBECK AV,25,W,N,2008-02-16,4316,2007-09-18,1653,14372,52,5,6,0,0,,0,005,-,N,,0,0,,,0.0,,,,N,2,A,-,21954,A,N,A,H,-,A,A,0,Y,N,60,0,1,0,0,1,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,8.0,1.0,,,1.0,1.0,,,,2.0,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,Pedestrian
766,766,766,3377011,-122.00900305799999,37.388286590599996,2007,4316,0,2,3,09,0,1,A,,,,,,1800,9,D,C,A,DUANE,SAN LUISITO WY,0,,Y,2008-02-16,4316,2007-09-18,1735,87002,26,5,6,0,0,,0,002,-,N,,0,0,,,0.0,,,,Y,2,A,-,21801,A,N,A,H,-,A,D,0,Y,A,01,0,1,0,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,260.5,2.0,1.0,1.0,3.0,3.0,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
767,767,767,3377023,-122.022103955,37.372959136999995,2007,4316,0,6,4,09,0,1,B,,Y,,,,2100,9,D,G,A,BRYAN AV,WILSON AV,48,E,N,2008-02-16,4316,2007-09-22,1926,14378,34,5,6,0,0,,0,003,-,N,,0,0,,,0.0,,,,N,2,A,-,21804,A,N,B,H,-,C,D,0,Y,L,04,0,0,1,0,0,0,1,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,11.0,1.0,,,1.0,1.0,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,Bicycle
768,768,768,3377113,-122.05693291200001,37.3720321655,2007,4316,0,6,3,09,0,1,A,,Y,,,,1500,9,-,G,A,BERNARDO AV,BLAIR AV,65,S,N,2008-02-18,4316,2007-09-08,1253,14344,51,5,6,0,0,,0,005,-,N,,0,0,,,0.0,,,,N,2,A,-,21804,A,N,A,H,-,A,D,0,Y,A,01,0,1,0,0,0,0,1,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,55.0,,1.0,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,Bicycle
769,769,769,3384363,-121.997023057,37.3993148804,2007,4316,0,2,4,08,0,1,A,,,,,,900,10,B,C,A,LAKEBIRD DR,VALELAKE CT,0,,Y,2008-03-24,4316,2007-10-09,814,10551,21,5,6,0,0,,0,003,-,N,,0,0,,,0.0,,,,N,2,A,-,22107,,N,A,H,-,A,D,0,Y,I,11,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,50.0,,1.0,,,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,Motor Vehicle
770,770,770,3387333,-122.02520929299999,37.382709503200005,2007,4316,0,2,2,03,0,1,A,,,Y,,,2100,10,F,I,A,CENTRAL EXPWY,SUNNYVALE AV,450,E,N,2008-05-07,4316,2007-10-02,2031,14350,13,5,6,0,0,,0,001,-,N,,0,0,,,0.0,,,,Y,1,A,-,22350,,N,A,H,-,D,D,0,Y,C,02,1,0,0,0,0,0,0,0,1,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,60.0,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,Motor Vehicle
771,771,771,3387353,-122.014134606,37.3574295044,2007,4316,0,4,3,09,0,2,A,,,Y,,,1500,10,D,C,A,WOLFE RD,MARIA LN,450,N,N,2008-05-07,4316,2007-10-04,1223,10316,42,5,6,0,0,,0,004,-,N,,0,0,,,0.0,,,,Y,2,A,-,21804,A,N,A,H,-,A,D,0,Y,A,01,0,1,1,0,0,0,0,0,1,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,37.0,,2.0,,,2.0,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,Motor Vehicle
772,772,772,3387636,-121.995946781,37.3928565979,2007,4316,0,5,4,04,0,1,A,,,,Y,,1200,10,C,C,A,LAWRENCE EXPWY,LAKEWOOD DR,250,S,N,2008-03-24,4316,2007-10-19,905,10352,,5,6,0,0,,0,,-,N,,0,0,,,0.0,,,,Y,4,A,-,21703,,N,A,H,-,A,D,0,Y,F,25,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,39.0,,1.0,,,1.0,,,2.0,1.0,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,Motor Vehicle
773,773,773,3388783,-122.040343064,37.401784981999995,2007,4316,3,5,3,18,0,2,A,,,Y,,,2400,9,E,J,A,RT 237,RT 101,500,E,N,2008-04-07,9340,2007-09-07,2335,01851,,3,6,0,1,,2,220,-,Y,SCL,4,101,-,-,46.254,R,2,N,Y,1,C,-,0,,N,A,H,-,C,D,1,Y,-,-,0,2,0,0,0,0,0,0,2,T,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,20.5,,2.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,Motor Vehicle
774,774,774,3389696,-122.001477025,37.392658991,2007,4316,2,5,4,08,0,1,A,,,,,,1500,8,E,I,A,RT 101,LAWRENCE EXPWY,1040,N,N,2008-01-24,9340,2007-08-17,1350,01839,,1,6,0,1,,2,120,-,Y,SCL,4,101,-,-,44.06,H,-,S,Y,1,A,-,22107,,N,A,H,-,A,D,1,Y,A,07,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,49.0,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,Motor Vehicle
775,775,775,3390282,-122.062137731,37.355708983,2007,4316,3,2,3,03,0,1,A,,,,,,1800,8,C,C,A,RT 85,FREMONT AV,1000,N,N,2008-04-10,9330,2007-08-28,1620,01653,,2,6,0,1,,2,076,-,Y,SCL,4,85,-,R,20.04,H,-,N,Y,2,A,-,22350,,N,A,H,-,A,D,1,Y,A,01,0,1,0,0,0,0,0,0,0,F,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,31.0,,2.0,,,2.0,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
776,776,776,3392454,-122.055755656,37.3755989075,2007,4316,0,5,4,05,0,1,A,,Y,,,,1800,8,A,G,A,BERNARDO AV,VICENTE DR,76,S,N,2008-02-09,4316,2007-08-03,1526,13542,33,5,6,0,0,,0,003,-,N,,0,0,,,0.0,,,,Y,2,A,-,21651,B,N,A,H,-,A,D,0,Y,L,04,0,0,1,0,0,0,1,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,13.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,Bicycle
777,777,777,3396086,-121.996003055,37.3806648254,2007,4316,4,5,4,07,0,2,A,,,,,,1800,8,B,C,A,LAWRENCE EXPWY,ARQUES AV,80,N,N,2008-02-09,9340,2007-08-17,1700,01833,,2,6,0,2,,2,620,-,N,,0,0,,,0.0,,,,Y,2,A,-,21658,A,N,A,H,-,A,D,0,Y,A,07,0,0,2,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,26.0,1.0,1.0,,1.0,,2.0,,,2.0,,,,1.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
778,778,778,3397044,-122.024723063,37.4161643982,2007,4316,0,2,4,12,0,1,A,,,,,,1200,10,D,C,A,MATHILDA AV,1ST ST,0,,Y,2008-03-26,4316,2007-10-16,1108,13541,10,5,6,0,0,,0,001,-,N,,0,0,,,0.0,,,,N,2,A,-,21453,A,N,A,H,-,A,A,0,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,35.0,,1.0,,,1.0,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,Motor Vehicle
779,779,779,3397048,-122.013853056,37.3688163757,2007,4316,0,3,4,09,0,1,B,,,,,,900,10,D,C,A,WOLFE RD,PALO VERDE DR,0,,Y,2008-03-26,4316,2007-10-17,756,56593,41,5,6,0,0,,0,001,-,N,,0,0,,,0.0,,,,Y,2,A,-,21802,A,N,A,H,-,A,A,0,Y,A,07,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,38.0,,1.0,,,1.0,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
780,780,780,3397072,-122.05054306,37.352085113499996,2007,4316,0,6,3,12,0,1,A,,Y,,,,1800,10,D,G,A,FREMONT AV,MARY,0,,Y,2008-03-26,4316,2007-10-20,1600,14396,53,5,6,0,0,,0,005,-,N,,0,0,,,0.0,,,,N,2,A,-,21453,A,N,A,H,-,A,A,0,Y,L,04,0,1,0,0,0,0,1,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,26.0,,1.0,,,1.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,Bicycle
781,781,781,3397083,-122.02836187700001,37.364472869000004,2007,4316,0,7,4,03,0,1,A,,,,,,1500,10,C,C,A,RT 82,CEZANNE,40,E,N,2008-04-25,4316,2007-10-21,1230,10044,42,5,6,0,0,,0,004,-,Y,SCL,4,82,-,-,16.46,H,-,S,Y,2,A,-,22350,,N,A,H,-,A,D,0,Y,-,-,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,21.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,Motor Vehicle
782,782,782,3397120,-122.04676306200001,37.3769950867,2007,4316,0,6,3,05,0,1,A,,Y,,,,2100,10,D,G,A,MARY AV,MCKINLEY,0,,Y,2008-03-26,4316,2007-10-20,1839,14828,,5,6,0,0,,0,,-,N,,0,0,,,0.0,,,,N,2,A,-,21202,A,N,A,H,-,B,D,0,Y,L,04,0,1,0,0,0,0,1,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,22.5,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Bicycle
783,783,783,3398918,-121.999003671,37.409254392600005,2007,4316,3,2,4,04,0,1,A,,,,,,2100,10,C,C,A,RT 237,LAWRENCE EXPWY,30,W,N,2008-04-29,9340,2007-10-23,1840,18679,,2,6,0,1,,2,220,-,Y,SCL,4,237,-,R,4.59,H,-,W,Y,3,A,-,21703,,N,A,H,-,B,D,1,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,39.0,,1.0,,,,1.0,2.0,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,Motor Vehicle
784,784,784,3402672,-121.995942465,37.4032745361,2007,4316,0,5,4,03,0,1,B,,,,,,1200,9,C,C,A,LAWRENCE EXPWY,TASMAN DR,85,S,N,2008-02-29,4316,2007-09-28,1120,15148,23,5,6,0,0,,0,002,-,N,,0,0,,,0.0,,,,N,3,A,-,22350,,N,A,H,-,A,A,0,Y,D,22,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,32.0,,1.0,,,,1.0,,2.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,Motor Vehicle
785,785,785,3402686,-122.013966924,37.3706474304,2007,4316,0,6,4,03,0,2,B,,,,,,1200,9,C,C,A,EVELYN AV,WOLFE RD,36,W,N,2008-02-28,4316,2007-09-29,1050,14346,,5,6,0,0,,0,004,-,N,,0,0,,,0.0,,,,Y,2,A,-,22350,,N,A,H,-,A,A,0,Y,A,01,0,0,2,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,35.666666666666664,1.0,2.0,,1.0,2.0,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,Motor Vehicle
786,786,786,3402690,-122.02121719200001,37.3734474182,2007,4316,0,5,4,-,0,2,A,,,,,,1500,9,C,C,A,FAIR OAKS,EVELYN AV,52,S,N,2008-03-03,4316,2007-09-28,1352,14243,34,5,6,0,0,,0,003,-,N,,0,0,,,0.0,,,,Y,3,-,-,0,,N,A,H,-,A,A,0,Y,-,-,0,0,2,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,35.0,,2.0,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,Motor Vehicle
787,787,787,3402726,-122.03199306,37.36769498,2007,4316,0,2,3,12,0,2,B,,,,,,900,10,D,C,A,RT 82,SUNNYVALE AV,0,,Y,2008-04-21,4316,2007-10-02,645,11145,42,5,6,0,0,,0,004,-,Y,SCL,4,82,-,-,16.762,I,5,N,Y,2,A,-,21453,A,N,A,H,-,B,A,0,Y,A,07,0,1,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,43.5,,2.0,,,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
788,788,788,3402854,-122.032423056,37.3402900696,2007,4316,0,3,4,03,0,2,A,,,,,,2100,10,C,C,A,SUNNYVALE SARATOGA RD,LA CONNER DR,115,N,N,2008-03-14,4316,2007-10-03,1915,14344,52,5,6,0,0,,0,005,-,N,,0,0,,,0.0,,,,Y,3,A,-,22350,,N,A,H,-,B,D,0,Y,A,01,0,0,2,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,52.5,,2.0,,,,2.0,2.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,Motor Vehicle
789,789,789,3404445,-122.060083784,37.406374121999995,2007,4316,2,5,4,03,0,1,A,,,,,,1200,9,C,C,A,RT 101,ELLIS ST,2640,N,N,2008-03-24,9330,2007-09-14,950,01854,,1,6,0,1,,2,078,-,Y,SCL,4,101,-,-,47.55,H,-,N,N,3,A,-,22350,,N,A,H,-,A,D,1,Y,D,22,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,20.5,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,2.0,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,Motor Vehicle
790,790,790,3409920,-122.055697527,37.375820159899995,2007,4316,0,3,3,08,0,3,A,,,,,,1500,10,D,C,A,BERNARDO AV,VICENTE DR,6,N,N,2008-03-25,4316,2007-10-03,1453,14374,31,5,6,0,0,,0,003,-,N,,0,0,,,0.0,,,,Y,2,A,-,22103,,N,A,H,-,A,D,0,Y,A,01,0,1,2,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,23.666666666666668,1.0,2.0,,1.0,,3.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
791,791,791,3413524,-122.00537545,37.352124982,2007,4316,0,1,4,10,0,1,B,Y,,,,,2100,10,G,B,B,RT 82,HENDERSON AV,4,E,N,2008-04-25,4316,2007-10-15,1824,15924,44,5,6,0,0,,0,004,-,Y,SCL,4,82,-,-,14.83,H,-,S,N,2,A,-,21950,A,N,A,H,-,A,A,0,Y,A,01,0,0,1,0,1,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,25.0,,1.0,,,,1.0,,,,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,Pedestrian
792,792,792,3413527,-122.02647306200001,37.404075622600004,2007,4316,0,4,3,12,0,1,A,,,,,,1800,10,D,C,A,MATHILDA AV,MOFFETT PARK DR,0,,Y,2008-03-14,4316,2007-10-11,1749,14372,10,5,6,0,0,,0,001,-,N,,0,0,,,0.0,,,,Y,2,A,-,21453,A,N,A,H,-,A,A,0,Y,A,01,0,1,0,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,46.0,,1.0,,,,1.0,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
793,793,793,3413535,-122.032418676,37.3586120605,2007,4316,0,4,4,09,0,1,A,,Y,,,,1800,10,D,G,A,SUNNYVALE SARATOGA RD,REMINGTON DR,150,S,N,2008-03-14,4316,2007-10-11,1605,14396,52,5,6,0,0,,0,005,-,N,,0,0,,,0.0,,,,N,2,A,-,21804,A,N,A,H,-,A,D,0,Y,A,01,0,0,1,0,0,0,1,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,15.0,1.0,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,Bicycle
794,794,794,3413583,-121.991553055,37.389984984,2007,4316,0,7,4,03,0,2,A,,,,,,1800,10,C,C,A,LAWRENCE EXPWY,RT 101,80,S,N,2008-04-10,4316,2007-10-07,1645,14183,24,5,6,0,0,,0,002,-,Y,SCL,4,101,-,-,43.753,R,4,N,Y,2,A,-,22350,,N,A,H,-,A,A,0,Y,A,01,0,0,2,0,0,0,0,0,0,-,N,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,39.5,,2.0,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
795,795,795,3413587,-122.025204989,37.362111213,2007,4316,0,1,4,05,0,1,A,,Y,,,,1200,10,D,G,A,RT 82,REMINGTON,250,W,N,2008-04-25,4316,2007-10-08,1121,10043,42,5,6,0,0,,0,004,-,Y,SCL,4,82,-,-,16.21,H,-,N,N,2,A,-,21202,A,N,A,H,-,A,A,0,Y,L,04,0,0,1,0,0,0,1,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,17.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,Bicycle
796,796,796,3414305,-121.992543057,37.4032440186,2007,4316,0,6,3,12,0,1,A,,,,,,1200,9,D,C,A,TASMAN DR,BIRCHWOOD DR,0,,Y,2008-03-05,4316,2007-09-29,955,74361,,5,6,0,0,,0,002,-,N,,0,0,,,0.0,,,,N,2,A,-,21453,A,N,A,H,-,A,A,0,Y,-,-,0,1,0,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,28.0,,1.0,,,1.0,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motor Vehicle
797,797,797,3414520,-121.99996748299999,37.392254091,2007,4316,2,3,4,03,0,1,A,,,,,,1800,10,C,C,A,RT 101,LAWRENCE EXPWY,500,N,N,2008-04-28,9340,2007-10-03,1550,01722,,2,6,0,1,,2,120,-,Y,SCL,4,101,-,-,43.95,H,-,S,N,2,A,-,22350,,N,A,H,-,A,D,1,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,24.0,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
798,798,798,3414616,-122.001655953,37.4085255564,2007,4316,3,4,4,03,0,1,A,,,,,,2100,10,C,C,A,RT 237,LAWRENCE EXPWY,700,W,N,2008-04-29,9340,2007-10-04,1855,17225,,2,6,0,1,,2,220,-,Y,SCL,4,237,-,R,4.47,H,-,E,Y,3,A,-,22350,,N,A,H,-,A,D,1,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,28.333333333333332,1.0,2.0,,1.0,1.0,2.0,2.0,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,Motor Vehicle
799,799,799,3416451,-122.038403446,37.401175063000004,2007,4316,2,4,4,03,0,1,A,,,,,,1200,10,C,C,A,RT 101,RT 237,800,N,N,2008-04-28,9340,2007-10-04,900,16226,,1,6,0,1,,2,120,-,Y,SCL,4,101,-,-,46.28,H,-,S,N,2,A,-,22350,,N,A,H,-,A,D,1,Y,A,01,0,0,1,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,38.0,,1.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,Motor Vehicle
800,800,800,3417858,-121.993753644,37.390420269,2007,4316,2,1,3,03,0,1,A,,,,,,1800,9,C,C,A,RT 101,LAWRENCE EXPWY,10,S,N,2008-03-13,9340,2007-09-10,1600,01817,,2,6,0,1,,2,120,-,Y,SCL,4,101,-,-,43.86,H,-,S,Y,3,A,-,22350,,N,A,H,-,A,D,1,Y,A,01,0,1,0,0,0,0,0,0,0,-,-,SUNNYVALE,SANTA CLARA,CA,0.0,0.0,20.25,,4.0,,,3.0,1.0,,1.0,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,Motor Vehicle
