"CASEID","PARNUM","PTYPE","ATFAULT","PSEX","PAGE","PSOBER","PDRUG","PDIRECT","PSAFETY1","PSAFETY2","INSURED","HAZARD","CELL","SBUS","PVIOLCOD","PVIOLCAT","PVIOL","PVIOLSUF","OAF1","OAF2","PKILLED","PINJURED","MOVEMENT","VEHYEAR","VEHMAKE","VEHTYPE","CHPTYPE1","CHPTYPE2","PRACE","INATTN","TRUCKCMB","TRAILRCMB","YEAR_"
"2449061",1,"1","Y","M",63,"A","-","E","L","G","Y","-","3","-","-","-",,,"N","-",0,1,"E",1998,"SATURN","A","1","0","W",,"-","-",2006
"2449077",1,"1","Y","F",31,"A","-","N","P","W",,"-","3","-","-","-",,,"F","N",0,1,"D",2004,"HONDA","C","2","0","H","K","-","-",2006
"2460745",1,"1","Y","F",34,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",2000,"CHRYSLER","A","7","0","W",,"-","-",2006
"2460745",2,"1","N","M",51,"A","-","W","M","G",,"-","3","-","-","-",,,"N","-",0,1,"B",2003,"FORD","D","22","0","W",,"-","-",2006
"2461288",1,"1","Y","M",27,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"J",2002,"TOYOTA","A","1","0","O",,"-","-",2006
"2461288",2,"1","N","F",34,"A","-","S","L","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",1995,"TOYOTA","A","1","0","W",,"-","-",2006
"2463135",1,"1","N","F",37,"A","-","N","M","G","Y","-","3","-",,"25",22350,,"A","-",0,0,"B",2002,"HONDA","A","1","0","A",,"-","-",2006
"2463135",2,"1","Y","F",30,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",2004,"NISSAN","A","7","0","W",,"-","-",2006
"2463135",4,"1","N","M",62,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"A",2004,"TOYOTA","A","7","0","A",,"-","-",2006
"2463135",3,"1","N","F",39,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",1997,"TOYOTA","A","1","0","A",,"-","-",2006
"2463281",1,"1","Y","M",38,"A","-","N","L","G","Y","-","3","-","-","-",,,"N","-",0,1,"E",2002,"HYUNDAI","A","1","0","O",,"-","-",2006
"2463281",2,"1","N","F",34,"A","-","W","L","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",2002,"HYUNDAI","A","1","0","W",,"-","-",2006
"2463285",1,"1","Y","M",23,"A","-","S","L","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",2003,"HONDA","A","1","0","A",,"-","-",2006
"2463285",2,"1","N","F",51,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",1997,"DODGE","A","1","0","A",,"-","-",2006
"2463289",1,"1","Y","F",44,"A","-","W","M","G","Y","-","3","-","-","-",,,"-","-",0,1,"B",1998,"TOYOTA","A","8","0","A",,"-","-",2006
"2463289",2,"3","N","-",998,"H","H","-","-","-","O","-","3","-","-","-",,,"-","-",0,0,"O",1986,"MERCEDES-BENZ","A","1","0",,,"-","-",2006
"2463293",1,"1","Y","M",25,"B","-","E","L","B",,"-","-","-",,"31",22107,,"A","N",0,1,"B",2000,"FORD","A","1","0","W",,"-","-",2006
"2463293",2,"3","N","-",998,"-",,"-","-","-","O","-","-","-","-","-",,,"-","-",0,0,"-",2002,"FORD","D","22","0",,,"-","-",2006
"2463298",1,"1","Y","F",50,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"E",1986,"MERCURY","A","1","0","W",,"-","-",2006
"2463298",2,"1","N","M",39,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",2000,"VOLKSWAGEN","A","1","0","A",,"-","-",2006
"2463301",1,"1","Y","M",51,"A","-","E","L","G","Y","-","-","-","-","-",,,"N","-",0,1,"B",2000,"TOYOTA","A","1","0","H",,"-","-",2006
"2463309",1,"1","Y","M",46,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",2004,"BMW","A","1","0",,,"-","-",2006
"2463309",2,"1","N","F",34,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"J",2003,"SUBARU","A","1","0",,,"-","-",2006
"2463309",3,"1","N","M",56,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"A",2000,"GMC","A","7","0",,,"-","-",2006
"2463317",1,"1","Y","M",76,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"E",2000,"CHEVROLET","D","22","0","W",,"-","-",2006
"2463317",2,"1","N","M",42,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",1993,"NISSAN","A","1","0","A",,"-","-",2006
"2463318",1,"4","N","M",49,"A","-","E","-","-","O","-","3","-","-","-",,,"M","-",0,1,"B",,"-","L","4","0","A",,"-","-",2006
"2463321",1,"1","Y","F",48,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",1991,"TOYOTA","A","1","0","A",,"-","-",2006
"2463321",2,"1","N","F",35,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",1995,"HONDA","A","1","0","A",,"-","-",2006
"2466417",1,"1","Y","F",46,"A","-","N","M","G","Y","-","3","-","-","-",,,"H","-",0,1,"L",2003,"HONDA","A","1","0","B",,"-","-",2006
"2466417",2,"1","N","F",48,"A","-","N","M","G","Y","-","3","-","-","-",,,"H","-",0,0,"A",1998,"DODGE","A","8","0","W",,"-","-",2006
"2466489",1,"1","Y","-",998,"G","G","N","B","-",,"-","3","-","-","-",,,"N","-",0,1,"J",,"-","A","1","0",,,"-","-",2006
"2466489",2,"1","N","F",31,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",2000,"HONDA","A","1","0","O",,"-","-",2006
"2466505",1,"1","Y","M",29,"A","-","N","M","G","Y","-","3","-","-","-",,,"G","-",0,0,"B",1999,"DODGE","D","22","0","H",,"-","-",2006
"2466505",2,"1","N","F",44,"A","-","N","M","G","Y","-","3","-","-","-",,,"G","-",0,1,"A",2003,"TOYOTA","A","1","0","A",,"-","-",2006
"2466505",3,"1","N","M",68,"A","-","N","M","G","Y","-","3","-","-","-",,,"G","-",0,0,"A",2006,"PONTIAC","A","1","0","O",,"-","-",2006
"2472091",1,"1","Y","M",29,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",2003,"MAZDA","A","1","0","O",,"-","-",2006
"2472091",2,"1","N","F",37,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"H",1999,"TOYOTA","A","1","0","B",,"-","-",2006
"2472100",1,"1","Y","F",67,"A","-","N","P","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",1997,"CHEVROLET","A","8","0",,,"-","-",2006
"2472100",2,"1","N","F",41,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,2,"H",1997,"FORD","A","7","0",,,"-","-",2006
"2472122",1,"1","Y","M",23,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"L",1999,"TOYOTA","-","-","0","W",,"-","-",2006
"2472122",2,"1","N","F",47,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",2005,"VOLKSWAGEN","A","7","0","W",,"-","-",2006
"2472122",3,"1","N","M",32,"A","-","N","-","-","Y","-","3","-","-","-",,,"N","-",0,0,"B",1991,"TOYOTA","A","1","0","W",,"-","-",2006
"2472135",2,"1","N","M",31,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",1993,"HONDA","A","1","0","A",,"-","-",2006
"2472135",1,"1","Y","M",28,"B","-","E","M","G","N","-","-","-","-","-",,,"N","-",0,1,"B",1991,"DODGE","A","1","0","H",,"-","-",2006
"2476773",1,"1","Y","M",36,"D","-","S","M","B","N","-","3","-",,"23",21453,"A","A","-",0,0,"B",2005,"DODGE","D","22","0","W",,"-","-",2006
"2476773",2,"1","N","M",19,"B","-","S","M","G","N","-","3","-","-","-",,,"H","-",1,3,"E",1993,"HONDA","A","1","0","H",,"-","-",2006
"2482247",1,"1","N","F",38,"A","-","W","G","M","Y","-","3","-","-","-",,,"N","-",0,1,"E",2000,"GMC","A","1","0","A",,"-","-",2006
"2482262",1,"1","Y","M",33,"B","-","E","L","B",,"-","-","-","-","-",,,"N","-",0,1,"H",1992,"MAZDA","A","1","0","W",,"-","-",2006
"2482262",2,"1","N","M",65,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"D",2006,"FORD","A","1","0","W",,"-","-",2006
"2482271",2,"2","Y","M",86,"A","-","N","-","-","O","-","3","-","-","-",,,"N","-",0,1,"-",,"-","N","60","0",,,"-","-",2006
"2482271",1,"1","N","M",49,"B","-","W","M","G","Y","-","3","-",,"20",23152,"B","A","-",0,0,"B",2005,"HONDA","A","1","0",,,"-","-",2006
"2482287",1,"1","Y","F",20,"A","-","W","L","C","Y","-","3","-","-","-",,,"E","-",0,1,"L",1997,"HONDA","A","1","0",,,"-","-",2006
"2482287",2,"1","N","M",31,"A","-","N","P","G","Y","-","3","-","-","-",,,"N","-",0,2,"B",1985,"TOYOTA","A","1","0",,,"-","-",2006
"2482291",1,"1","N","M",33,"A","-","E","L","G","Y","-","2","-","-","-",,,"N","-",0,0,"B",2001,"FORD","A","1","0","O",,"-","-",2006
"2482291",2,"1","N","M",46,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"A",1994,"FORD","D","22","0","A",,"-","-",2006
"2482291",3,"1","N","M",36,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",1998,"DODGE","D","22","0","B",,"-","-",2006
"2482302",1,"1","Y","F",48,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"J",1987,"BMW","A","1","0","A",,"-","-",2006
"2482302",2,"1","N","M",51,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",2003,"TOYOTA","A","1","0","W",,"-","-",2006
"2482302",3,"1","N","M",49,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"A",1988,"ACURA","A","1","0","A",,"-","-",2006
"2482319",1,"4","Y","M",29,"A","-","E","-","-","O","-","-","-",,"23",21453,"A","A","-",0,1,"Q",,"-","L","4","0","H",,"-","-",2006
"2482319",2,"1","N","M",48,"A","-","S","G","-","Y","-","-","-","-","-",,,"N","-",0,0,"E",2002,"TOYOTA","A","1","0","B",,"-","-",2006
"2484649",1,"1","Y","M",22,"A","-","W","A","G","N","-","3","-","-","-",,,"N","-",2,0,"R",1989,"FORD","A","1","0","H",,"-","-",2006
"2487317",1,"1","N","F",48,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",2001,"MAZDA","A","8","0","W",,"-","-",2006
"2487317",2,"1","Y","M",57,"A","-","N","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",1998,"CHEVROLET","A","1","0","B",,"-","-",2006
"2487490",1,"1","Y","M",58,"A","-","W","L","G","Y","-","3","-","-","-",,,"N","-",0,0,"B",2003,"TOYOTA","D","22","0","A",,"-","-",2006
"2487490",2,"1","N","M",42,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",2000,"CHEVROLET","A","7","0","W",,"-","-",2006
"2487753",1,"1","Y","M",71,"B","-","S","P","G","Y","-","3","-",,"23",21453,"A","A","-",0,1,"B",1988,"GMC","D","22","0","H",,"-","-",2006
"2487753",2,"1","N","F",44,"A","-","E","M","L","Y","-","3","-","-","-",,,"N","-",0,1,"E",2001,"HONDA","A","8","0","A",,"-","-",2006
"2487753",3,"1","N","M",38,"A","-","E","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"E",1984,"HONDA","A","1","0","A",,"-","-",2006
"2490661",1,"1","Y","-",998,"G","G","S","B","-",,"-","3","-","-","-",,,"N","-",0,0,"B",2000,"DODGE","A","1","0",,,"-","-",2006
"2490661",2,"1","N","M",18,"A","-","S","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"A",2003,"VOLKSWAGEN","A","1","0","W",,"-","-",2006
"2490701",1,"1","Y","F",18,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,1,"B",2006,"HONDA","A","1","0","O",,"-","-",2006
"2490701",2,"1","N","M",29,"A","-","W","M","G","Y","-","3","-","-","-",,,"N","-",0,0,"H",2002,"DODGE","A","8","0","H",,"-","-",2006
"2490705",1,"1","N","M",59,"A","-","N","P","G","Y","-","3","-","-","-",,,"G","-",0,0,"H",1989,"GMC","A","8","0","W",,"-","-",2006
"2490705",2,"1","N","F",58,"A","-","N","P","G","N","-","3","-","-","-",,,"G","-",0,1,"G",1991,"TOYOTA","A","1","0","A",,"-","-",2006
"2490705",3,"1","Y","M",32,"A","-","N","M","G","Y","-","3","-","-","-",,,"G","-",0,0,"H",2003,"GMC","D","23","0","W",,"-","-",2006
