"CASEID","POINT_X","POINT_Y","YEAR_","LOCATION","CHPTYPE","DAYWEEK","CRASHSEV","VIOLCAT","KILLED","INJURED","WEATHER1","PEDCOL","BICCOL","MCCOL","TRUCKCOL","ETOH","TIMECAT","MONTH_","CRASHTYP","INVOLVE","PED","PRIMARYRD","SECONDRD","DISTANCE","DIRECT","INTERSECT_","PROCDATE","JURIS","DATE_","TIME_","BADGE","JURIDIST","SHIFT","POP","SPECIAL","BEATTYPE","LAPDDIV","BEATCLAS","BEATNUMB","WEATHER2","STATEHW","CALTRANC","CALTRAND","STROUTE","ROUTESUF","POSTPRE","POSTMILE","LOCATYPE","RAMP","SIDEHW","TOWAWAY","PARTIES","PCF","VIOLCODE","VIOL","VIOLSUB","HITRUN","ROADSURF","RDCOND1","RDCOND2","LIGHTING","RIGHTWAY","CHPRDTYP","NOTPRIV","STFAULT","CHPFAULT","SEVINJ","OTHERINJ","COP","PEDKILL","PEDINJ","BICKILL","BICINJ","MCKILL","MCINJURE","RAMP1","RAMP2","CITY","COUNTY","STATE","X_CHP","Y_CHP"
"5852528",-122.046783384,37.3375049364,2012,"4316","0","6","4","08",0,1,"A",,,,,,900,4,"E","I","A","W HOMESTEAD RD","KENNEWICK",189,"W","N","2013-08-17",4316,"2012-04-21",804,"15924","54","5","6","0","0",,"0","005","-","N",,0,0,,,0,,,,"Y",1,"A","-",22107,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5848114",-122.006097002,37.352293069,2012,"4316","0","5","3","09",0,1,"A",,"Y",,,,1200,4,"H","G","A","EL CAMINO REAL","POPLAR AV",100,"E","N","2014-01-27",4316,"2012-04-20",1143,"12762","43","5","6","0","0",,"0","004","-","Y","SCL",4,82,"-","-",14.87,"H","-","N",,2,"A","-",21804,"A","N","A","H","-","A","D","0","Y","A","01",0,1,0,0,0,0,1,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5848113",-122.014213074,37.352185048,2012,"4316","0","5","4","12",0,2,"A",,,,,,1500,4,"D","C","A","WOLFE RD","FREMONT AV",0,,"Y","2014-02-10",4316,"2012-04-13",1418,"56593","61","5","6","0","0",,"0","006","-","N",,0,0,,,0,,,,"Y",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","A","07",0,0,2,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5848112",-122.028607608,37.364676605,2012,"4316","0","2","2","10",0,1,"A","Y",,,,,1800,4,"G","B","B","RT 82","CEZANNE DR",0,,"Y","2013-08-17",4316,"2012-04-24",1739,"48041","42","5","6","0","0",,"0","004","-","Y","SCL",4,82,"-","-",16.48,"H","-","S","Y",2,"A","-",21950,"A","N","A","H","-","A","A","0","Y","A","01",1,0,0,0,1,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5848111",-122.014213074,37.352185048,2012,"4316","0","4","4","12",0,2,"A",,,,,,1500,4,"D","C","A","WOLFE RD","FREMONT AV",0,,"Y","2014-02-10",4316,"2012-04-12",1418,"56593","61","5","6","0","0",,"0","006","-","N",,0,0,,,0,,,,"Y",2,"A","-",21453,"A","N","A","H","-","A","A","0","Y","A","07",0,0,2,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5848104",-122.014133054,37.35323498,2012,"4316","0","4","4","12",0,1,"C",,,,,,2400,4,"D","C","A","WOLFE RD","EL CAMINO REAL",0,,"Y","2014-02-18",4316,"2012-04-26",2115,"14954","42","5","6","0","0",,"0","004","-","Y","SCL",4,82,"-","-",15.32,"I","6","N","Y",2,"A","-",21453,"A","N","B","H","-","C","A","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5848103",-122.052663243,37.372774064,2012,"4316","0","6","2","12",0,2,"A","Y","Y",,,,1800,4,"G","B","F","RT 82","GRAPE",86,"E","N","2014-01-27",4316,"2012-04-14",1607,"28245","51","5","6","0","0",,"0","005","-","Y","SCL",4,82,"-","-",17.93,"H","-","S","Y",3,"A","-",21453,"A","N","A","H","-","A","A","0","Y","A","01",1,0,1,0,1,0,1,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",0,0
"5846661",-122.032720757,37.400119378,2012,"4316","2","4","4","03",0,1,"A",,,,,,1200,8,"C","C","A","RT101","RT 237",500,"S","N","2013-11-16",9340,"2012-08-30",955,"20289",,"1","6","0","1",,"2","120","-","Y","SCL",4,101,"-","-",46.04,"H","-","N","N",3,"A","-",22350,,"N","A","H","-","A","D","1","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",-122.03185,37.39936
"5844502",-122.036263063,37.400694982,2012,"4316","2","6","4","03",0,1,"A",,,,,,600,9,"E","I","A","RT 101","RT 237",280,"S","N","2013-12-10",9340,"2012-09-01",530,"020154",,"3","6","0","1",,"2","120","-","Y","SCL",4,101,"-","-",46.111,"R","2","S","Y",1,"A","-",22350,,"N","A","H","-","C","D","1","Y","A","01",0,0,1,0,0,0,0,0,0,"TO","-","SUNNYVALE","SANTA CLARA","CA",-122.03502,37.40004
"5844038",-122.027746604,37.399040868,2012,"4316","2","5","4","03",0,1,"A",,,,"Y",,1200,10,"C","C","A","RT 101","MATHILDA AV",20,"N","N","2013-12-17",9340,"2012-10-26",940,"20298",,"1","6","0","1",,"2","120","-","Y","SCL",4,101,"-","-",45.69,"H","-","N","N",3,"A","-",22350,,"N","A","H","-","A","D","1","Y","F","26",0,0,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",-122.4421,37.3639
"5844018",-122.023745143,37.357301692,2012,"4316","S","2","3","18",0,4,"A",,,,,,1200,10,"H","A","A","MICHELANGELO DR","CRESCENT AV",900,"N","N","2013-12-17",9340,"2012-10-23",1035,"19331",,"1","6","1","4",,"2","901","-","N",,0,0,,,0,,,,"N",1,"C","-",0,,"N","A","H","-","A","D","0","Y","-","-",0,1,3,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",-122.02466,37.35495
"5843476",-122.027093062,37.403164982,2012,"4316","3","3","4","03",0,1,"A",,,,,,1200,10,"C","C","A","RT 237","MATHILDA AV",20,"E","N","2013-12-21",9340,"2012-10-17",920,"17350",,"1","6","0","1",,"2","220","-","Y","SCL",4,237,"-","-",2.99,"H","-","W","N",2,"A","-",22350,,"N","A","H","-","A","D","1","Y","D","22",0,0,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",-122.02517,37.4034
"5840383",-122.007728792,37.394625961,2012,"4316","2","5","2","03",0,1,"A",,,"Y",,,2400,9,"F","A","A","RT 101","FAIR OAKS BL",1200,"S","N","2014-03-17",9340,"2012-09-07",2120,"019986",,"2","6","0","1",,"2","120","-","Y","SCL",4,101,"-","-",44.6,"H","-","N","N",1,"A","-",22350,,"N","A","H","-","D","A","1","Y","C","02",1,0,0,0,0,0,0,0,1,"-","-","SUNNYVALE","SANTA CLARA","CA",-121.03087,37.3996
"5839077",-122.057364966,37.334125406,2012,"4316","3","3","4","03",0,1,"B",,,,,,1200,9,"C","C","A","RT 85","RT 280",300,"N","N","2013-12-11",9340,"2012-09-19",940,"016334",,"1","6","0","1",,"2","085","-","Y","SCL",4,85,"-","R",18.54,"H","-","N","N",3,"A","-",22350,,"N","A","H","-","A","D","6","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",-122.05771,37.35406
"5839032",-121.996602285,37.3717453369,2012,"4316","4","3","4","03",0,1,"A",,,,,,1500,9,"C","C","A","LAWRENCE EXPWY","KIFER RD",800,"S","N","2013-12-09",9340,"2012-09-19",1445,"18562",,"2","6","0","2",,"2","610","-","Y",,0,0,,,0,,,,"Y",3,"A","-",22350,,"N","A","H","-","A","D","0","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",-121.99627,37.37139
"5839015",-122.004524469,37.393514554,2012,"4316","2","3","4","03",0,1,"B",,,,,,1800,9,"C","C","A","RT101","LAWRENCE EXPWY",2500,"N","N","2013-12-09",9340,"2012-09-05",1515,"20208",,"2","6","0","1",,"2","120","-","Y","SCL",4,101,"-","-",44.33,"H","-","S","N",2,"A","-",22350,,"F","A","H","-","A","D","1","Y","-","99",0,0,1,0,0,0,0,0,0,"-","-","SUNNYVALE","SANTA CLARA","CA",-122.00633,37.39395
